,s1
639,s2
640,s2
641,s2
642,s2
643,s2
644,s2
645,s2
646,s2
647,s2
648,s2
649,s2
650,s2
651,s2
652,s2
653,s2
654,s2
655,s2
656,s2
657,s2
658,s2
659,s2
660,s2
661,s2
662,s2
663,s2
664,s2
665,s2
666,s2
667,s2
668,s2
669,s2
670,s2
671,s2
672,s2
673,s2
674,s2
675,s2
676,s2
677,s2
678,s2
679,s2
680,s2
681,s2
682,s2
683,s2
684,s2
685,s2
686,s2
687,s2
688,s2
689,s2
690,s2
691,s2
692,s2
693,s2
694,s2
695,s2
696,s2
697,s2
698,s2
699,s2
700,s2
701,s2
702,s2
703,s2
704,s2
705,s2
706,s2
707,s2
708,s2
709,s2
710,s2
711,s2
712,s2
713,s2
714,s2
715,s2
716,s2
717,s2
718,s2
719,s2
720,s2
721,s2
722,s2
723,s2
724,s2
725,s2
726,s2
727,s2
728,s2
729,s2
730,s2
731,s2
732,s2
733,s2
734,s2
735,s2
736,s2
737,s2
738,s2
739,s2
740,s2
741,s2
742,s2
743,s2
744,s2
745,s2
746,s2
747,s2
748,s2
749,s2
750,s2
751,s2
752,s2
753,s2
754,s2
755,s2
756,s2
757,s2
758,s2
759,s2
760,s2
761,s2
762,s2
763,s2
764,s2
765,s2
766,s2
767,s2
768,s2
769,s2
770,s2
771,s2
772,s2
773,s2
774,s2
775,s2
776,s2
777,s2
778,s2
779,s2
780,s2
781,s2
782,s2
783,s2
784,s2
785,s2
786,s2
787,s2
788,s2
789,s2
790,s2
791,s2
792,s2
793,s2
794,s2
795,s2
796,s2
797,s2
798,s2
799,s2
800,s2
801,s2
802,s2
803,s2
804,s2
805,s2
806,s2
807,s2
808,s2
809,s2
810,s2
811,s2
812,s2
813,s2
814,s2
815,s2
816,s2
817,s2
818,s2
819,s2
820,s2
821,s2
822,s2
823,s2
824,s2
825,s2
826,s2
827,s2
828,s2
829,s2
830,s2
831,s2
832,s2
833,s2
834,s2
835,s2
836,s2
837,s2
838,s2
839,s2
840,s2
841,s2
842,s2
843,s2
844,s2
845,s2
846,s2
847,s2
848,s2
849,s2
850,s2
851,s2
852,s2
853,s2
854,s2
855,s2
856,s2
857,s2
858,s2
859,s2
860,s2
861,s2
862,s2
863,s2
864,s2
865,s2
866,s2
867,s2
868,s2
869,s2
870,s2
871,s2
872,s2
873,s2
874,s2
875,s2
876,s2
877,s2
878,s2
879,s2
880,s2
881,s2
882,s2
883,s2
884,s2
885,s2
886,s2
887,s2
888,s2
889,s2
890,s2
891,s2
892,s2
893,s2
894,s2
895,s2
896,s2
897,s2
898,s2
899,s2
900,s2
901,s2
902,s2
903,s2
904,s2
905,s2
906,s2
907,s2
908,s2
909,s2
910,s2
911,s2
912,s2
913,s2
914,s2
915,s2
916,s2
917,s2
918,s2
919,s2
920,s2
921,s2
922,s2
923,s2
924,s2
925,s2
926,s2
927,s2
928,s2
929,s2
930,s2
931,s2
932,s2
933,s2
934,s2
935,s2
936,s2
937,s2
938,s2
939,s2
940,s2
941,s2
942,s2
943,s2
944,s2
945,s2
946,s2
947,s2
948,s2
949,s2
950,s2
951,s2
952,s2
953,s2
954,s2
955,s2
956,s2
957,s2
958,s2
959,s2
960,s2
961,s2
962,s2
963,s2
964,s2
965,s2
966,s2
967,s2
968,s2
969,s2
970,s2
971,s2
972,s2
973,s2
974,s2
975,s2
976,s2
977,s2
978,s2
979,s2
980,s2
981,s2
982,s2
983,s2
984,s2
985,s2
986,s2
987,s2
988,s2
989,s2
990,s2
991,s2
992,s2
993,s2
994,s2
995,s2
996,s2
997,s2
998,s2
999,s2
1000,s2
1001,s2
1002,s2
1003,s2
1004,s2
1005,s2
1006,s2
1007,s2
1008,s2
1009,s2
1010,s2
1011,s2
1012,s2
1013,s2
1014,s2
1015,s2
1016,s2
1017,s2
1018,s2
1019,s2
1020,s2
1021,s2
1022,s2
1023,s2
1024,s2
1025,s2
1026,s2
1027,s2
1028,s2
1029,s2
1030,s2
1031,s2
1032,s2
1033,s2
1034,s2
1035,s2
1036,s2
1037,s2
1038,s2
1039,s2
1040,s2
1041,s2
1042,s2
1043,s2
1044,s2
1045,s2
1046,s2
1047,s2
1048,s2
1049,s2
1050,s2
1051,s2
1052,s2
1053,s2
1054,s2
1055,s2
1056,s2
1057,s2
1058,s2
1059,s2
1060,s2
1061,s2
1062,s2
1063,s2
1064,s2
1065,s2
1066,s2
1067,s2
1068,s2
1069,s2
1070,s2
1071,s2
1072,s2
1073,s2
1074,s2
1075,s2
1076,s2
1077,s2
1078,s2
1079,s2
1080,s2
1081,s2
1082,s2
1083,s2
1084,s2
1085,s2
1086,s2
1087,s2
1088,s2
1089,s2
1090,s2
1091,s2
1092,s2
1093,s2
1094,s2
1095,s2
1096,s2
1097,s2
1098,s2
1099,s2
1100,s2
1101,s2
1102,s2
1103,s2
1104,s2
1105,s2
1106,s2
1107,s2
1108,s2
1109,s2
1110,s2
1111,s2
1112,s2
1113,s2
1114,s2
1115,s2
1116,s2
1117,s2
1118,s2
1119,s2
1120,s2
1121,s2
1122,s2
1123,s2
